﻿episode_id,person_id,person_name,episode_count,age,category,char_count,episode_text,episode_type,fact_check_result,group_name,is_group_member,person_type,quality_score,slot,source,tier,week,work_title,generation_timestamp,fame_tier,wikipedia_ja,textbook,award_level,notoriety,fame_score,composite_score,fame_score_updated_at,episode_fame_tier,episode_fame_score,episode_fame_score_updated_at,人生の節目タグ,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度,category_original,historical_significance_score,verifiability_score,cultural_impact_score,essential_insight_score,temporal_permanence_score,episode_importance_score,is_highlight,highlight_rank,highlight_selection_method,事実密度_float,priority_score,impressiveness_score,年代,episode_fame_score_original,教育的価値_original,ストーリー品質_original,事実密度_original,episode_id_original,birth_year,target_age,surprise_score,name_raw,title,affiliation,display_name_original,﻿episode_id,﻿episode_id.1
,P9475748,北島康介,,16,スポーツ,298,あなたと同じ16歳のとき、北島康介は日本選手権で初優勝を果たしました。2001年、本牧高校1年生だった北島は、100m平泳ぎで日本のトップスイマーたちを相手に堂々と戦い、見事に頂点に立ったのです。この快挙の背景には、中学時代から師事していた平井伯昌コーチの下で積み重ねた厳しいトレーニングがありました。当時の北島は、学校と練習の両立に悩みながらも、「世界で戦える選手になりたい」という強い目標を持ち続けていました。この優勝により、翌年の世界水泳選手権代表に選ばれ、世界への扉が開かれることになります。高校生でありながら日本一になった経験は、後のオリンピック2連覇という偉業への第一歩となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:45,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PFFAB3C5,池江璃花子,,14,スポーツ,266,あなたと同じ14歳のとき、池江璃花子は2016年の日本選手権で史上最年少優勝を果たしました。当時中学3年生だった彼女は、大人の選手たちに混じって堂々と泳ぎ、100mバタフライで見事に頂点に立ったのです。レース後のインタビューでは「まさか優勝できるとは思っていなかった」と驚きを隠せない様子でしたが、その笑顔には確かな自信も見えました。この快挙は、幼い頃から母親の経営する水泳教室で毎日練習を重ねてきた努力の結晶でした。14歳という若さで日本のトップに立った彼女の姿は、年齢に関係なく、努力と才能があれば夢は叶うことを証明しています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:39:53,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PDC014B6,白井健三,,16,スポーツ,299,あなたと同じ16歳のとき、白井健三は2014年のユースオリンピック（南京大会）で金メダルを獲得しました。この年、彼は床運動で「シライ」と名付けられた後方伸身宙返り4回ひねりという超高難度技を成功させ、世界を驚かせました。高校1年生という若さで、すでに国際大会で自分の名前がついた技を持つ選手となったのです。体操界では技の難度がどんどん上がる中、白井は恐れることなく新技に挑戦し続けました。彼の成功は、才能だけでなく、幼い頃からの地道な練習と、失敗を恐れない挑戦する心があったからこそ実現したものでした。10代で世界の頂点に立った白井の姿は、夢に向かって努力することの大切さを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:40:01,,,,OLYMPIC,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PFE932ED,橋本大輝,,18,スポーツ,297,あなたと同じ18歳のとき、橋本大輝は全日本ジュニア選手権で優勝を果たしました。千葉県の高校3年生だった彼は、この大会で個人総合のタイトルを獲得し、日本体操界の新星として注目を集めました。しかし、ここに至るまでの道のりは決して平坦ではありませんでした。小学1年生から体操を始めた橋本は、地道な練習を重ね、高校時代には全国高校総体でも活躍。18歳での全日本ジュニア制覇は、毎日の厳しいトレーニングと、失敗を恐れず新しい技に挑戦し続けた結果でした。この優勝が、後の東京オリンピック金メダリストへの第一歩となったのです。若くして頂点を目指す姿勢は、夢に向かって努力するすべての若者の励みとなっています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:40:09,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P3D1E362,本田真凜,,15,スポーツ,262,あなたと同じ15歳のとき、本田真凜は2016年の世界ジュニア選手権で日本女子として初優勝を果たしました。当時、シニアの全日本選手権でも表彰台に立つなど、大きな注目を集めていた彼女でしたが、世界の舞台では緊張との戦いでもありました。フリースケーティングでは映画『ロミオとジュリエット』の楽曲に乗せて、持ち前の表現力豊かな演技を披露。技術点だけでなく、観客を魅了する演技構成点でも高評価を獲得し、見事金メダルを手にしました。10代半ばで世界一の称号を得た彼女の姿は、夢に向かって努力を重ねることの大切さを私たちに教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:40:16,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,スポーツ,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PA869747,藤井聡太,,16,学術・研究,299,あなたと同じ16歳のとき、藤井聡太は史上最年少でプロ棋士となり、デビュー後29連勝という驚異的な記録を打ち立てていました。中学生でありながら、ベテラン棋士たちを次々と破る姿は日本中を熱狂させました。対局後のインタビューでは、「自分の実力はまだまだ」と謙虚に語り、敗北からも真摯に学ぶ姿勢を見せました。学業との両立にも真剣に取り組み、将棋の研究は深夜まで続けながらも、高校進学も視野に入れていました。天才と呼ばれながらも、常に向上心を持ち続け、一局一局に全力で臨む彼の姿勢は、年齢を超えて多くの人々に感動を与えました。若くして頂点を目指す彼の挑戦は、夢に向かって努力することの大切さを教えてくれます。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:40:25,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,学術・研究,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P1B300C1,芦田愛菜,,18,エンターテイメント,285,あなたと同じ18歳のとき、芦田愛菜は慶應義塾大学法学部に現役合格を果たしました。幼い頃から女優として多忙な日々を送りながらも、撮影の合間や移動時間を活用して猛勉強を続けてきた努力が実を結んだのです。「勉強は自分の世界を広げてくれる」と語る彼女は、仕事と学業の両立という困難な挑戦を諦めることなく、限られた時間を最大限に活用しました。芸能活動を続けながら難関大学への合格を実現したその姿は、夢を追いながらも学びを大切にすることの重要性を示し、同世代の多くの若者に勇気と希望を与えました。彼女の真摯な姿勢は、才能だけでなく努力の積み重ねが人生を切り拓くことを証明しています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:40:33,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,エンターテイメント,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P8D7E079,鈴木福,,18,エンターテイメント,296,あなたと同じ18歳のとき、鈴木福は子役として活躍を始めてから10年以上のキャリアを積み重ねていました。7歳で「マルモのおきて」に出演し、一躍国民的子役となった彼は、18歳を迎える頃には高校生活と芸能活動の両立という大きな挑戦に直面していました。多くの同世代が進路に悩む中、福さんは子役時代の経験を活かしながら、大人の俳優への転換期を迎えていました。幼い頃からカメラの前に立ち続けてきた彼にとって、10代後半は自分の演技を見つめ直し、新たな表現者として成長する重要な時期となりました。子役から大人の俳優へと成長する過程で、彼は継続することの大切さと、変化を恐れず挑戦する姿勢を示し続けています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:40:41,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,エンターテイメント,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PEE28158,モーツァルト,,18,音楽,269,あなたと同じ18歳のとき、モーツァルトはザルツブルク大司教に仕える宮廷音楽家として働いていました。幼い頃から神童として各地を演奏旅行していた彼にとって、この時期は一つの転換点でした。華やかな旅から一転、故郷での定職に就いたものの、創作の自由が制限される窮屈さを感じていたのです。それでも彼は、この環境下で交響曲やセレナードなど多数の作品を生み出し続けました。若き作曲家は、与えられた環境に不満を抱きながらも、その中で自分の才能を磨き続ける道を選んだのです。この時期の経験が、後に彼が独立した音楽家として歩む決意を固める原動力となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:40:49,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PAC33733,ベートーヴェン,,14,音楽,284,あなたと同じ14歳のとき、ベートーヴェンは宮廷オルガニストとして正式に採用され、プロの音楽家としての第一歩を踏み出しました。幼い頃から厳しい父の指導で才能を磨いてきた彼は、この年、ボン選帝侯の宮廷楽団で無給ながらオルガン奏者として認められます。朝早くから宮廷で演奏の仕事をこなし、同時に作曲家ネーフェに師事して作曲技法を学び続けました。家計を支えるという重責を背負いながらも、音楽への情熱を失わず、むしろこの経験が後の偉大な作曲家への土台となったのです。10代半ばにして、すでにプロとして認められた彼の才能と努力は、夢を追いかける若者たちへの励みとなるエピソードです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:40:57,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PF44A276,ショパン,,18,音楽,269,あなたと同じ18歳のとき、ショパンは祖国ポーランドを離れ、音楽の都ウィーンへ向かう旅に出ました。1828年、若き作曲家としての夢を抱いて初めての外国公演に臨んだのです。しかし、ウィーンでの演奏会は期待したほどの成功を収められず、挫折を味わいます。それでも彼は諦めませんでした。この経験を通じて、自分の音楽スタイルを見つめ直し、ピアノという楽器の可能性をさらに追求する決意を固めたのです。故郷への郷愁と音楽家としての野心の間で揺れ動きながらも、前に進み続けた18歳のショパン。この時期の葛藤が、後の独創的な作品を生み出す原動力となりました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:41:04,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PE7588C0,宇多田ヒカル,,16,音楽,324,あなたと同じ16歳のとき、宇多田ヒカルは日本の音楽史に残る伝説を作り上げていました。1999年3月、高校生活を送りながらリリースしたデビューアルバム『First Love』は、瞬く間に大ヒット。当時、ニューヨークのアメリカンスクールに通いながら、日本とアメリカを行き来する多忙な日々を送っていました。「Automatic」や「First Love」など自ら作詞作曲した楽曲は、同世代の若者たちの心を掴み、最終的に800万枚近くを売り上げる記録的な成功を収めました。普通の高校生が学校生活を楽しむ年齢で、彼女は音楽業界のトップアーティストとして、プレッシャーと向き合いながらも自分の表現を貫いた姿は、若くして夢を追いかけることの可能性を示しています。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:41:13,,,,AWARD,,7.0,87.14285714285714,,,7.0,,若き挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,音楽,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P72ADDD0,米津玄師,,17,音楽,270,あなたと同じ17歳のとき、米津玄師は「ハチ」という名前でニコニコ動画に自作の楽曲を投稿し始めました。徳島県の高校に通いながら、独学で音楽制作を学び、ボーカロイド「初音ミク」を使って曲作りに没頭していた彼は、人とのコミュニケーションが苦手で孤独を感じていました。しかし、インターネットという場所で自分の表現を発信することで、同じ感性を持つ人々とつながることができました。「マトリョシカ」などの楽曲は後に大ヒットとなり、多くの若者の心を捉えます。誰にも理解されないと感じていた10代の彼が、自分の個性を武器に新しい表現の場を見つけた瞬間でした。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:41:20,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P99AEAE2,あいみょん,,17,音楽,269,あなたと同じ17歳のとき、あいみょんは音楽の道へ大きな一歩を踏み出しました。兵庫県西宮市で育った彼女は、この年から本格的に作詞作曲を始めます。それまでギターを弾きながら既存の曲を歌っていた彼女でしたが、自分の想いや感情を自分の言葉で表現したいという強い衝動に駆られたのです。高校生活を送りながら、部屋にこもって何度もギターをかき鳴らし、言葉を紡ぎ出す日々。最初は思うように曲が作れず悩むこともありましたが、諦めずに創作を続けました。この時期に培った「自分の言葉で語る」という姿勢が、後に多くの人の心を掴む楽曲を生み出す原点となったのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:41:28,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PC40E5B3,YOASOBI（幾田りら）,,17,音楽,253,あなたと同じ17歳のとき、幾田りらは「ikura」という名前で音楽活動を始めました。高校生活を送りながら、路上ライブやライブハウスでの演奏に挑戦し、自分の歌声を多くの人に届けようと努力していました。当時から弾き語りスタイルで、カバー曲やオリジナル曲を歌い、SNSでも積極的に音楽を発信。学業と音楽活動の両立は簡単ではありませんでしたが、「音楽で人の心を動かしたい」という強い想いを胸に、一歩ずつ前進していきました。この時期の地道な活動が、後のYOASOBIとしての大成功につながる貴重な経験となったのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:41:34,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,音楽,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PEC07F35,マーク・ザッカーバーグ,,19,ビジネス,282,あなたと同じ19歳のとき、マーク・ザッカーバーグはハーバード大学の寮の一室でFacebookを立ち上げました。当初は学生同士をつなぐ単純なサービスでしたが、公開からわずか24時間で1200人以上が登録し、1ヶ月後には学生の半数以上が利用する人気サービスに成長しました。この成功を受けて、彼は大学を休学し、シリコンバレーへ移住する大きな決断をします。周囲からは「せっかくハーバードに入ったのに」と反対されましたが、「完成させるまで戻らない」という強い信念を持って挑戦しました。10代の若さで、安定より情熱を選んだ彼の決断は、その後の世界を変える第一歩となったのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:41:42,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,ビジネス,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PC29E0A0,ビル・ゲイツ,,19,ビジネス,310,あなたと同じ19歳のとき、ビル・ゲイツはハーバード大学を中退し、幼なじみのポール・アレンとともにマイクロソフトを創業しました。きっかけは、雑誌で見た世界初の個人用コンピューター「Altair 8800」の記事。「このチャンスを逃したら後悔する」と直感した彼は、メーカーに電話をかけ、まだ存在しないプログラミング言語の開発を約束します。そこから徹夜続きで猛烈にコードを書き上げ、見事に動作するソフトウェアを完成させました。名門大学を辞める決断に周囲は反対しましたが、「今やらなければ」という10代ならではの情熱と行動力が、のちの世界的企業の誕生につながったのです。若き日の大胆な決断が、コンピューター革命の扉を開きました。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:41:51,,,,AWARD,,7.0,87.14285714285714,,,7.0,,若き挑戦,9.0,8.0,8.5,9.0,8.5,9.0,9.0,ビジネス,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,PF38467A,スティーブ・ジョブズ,,18,科学・技術,275,あなたと同じ18歳のとき、スティーブ・ジョブズはリード大学を中退した直後、友人のスティーブ・ウォズニアックが作った小さなコンピュータ基板に衝撃を受けました。当時、コンピュータは企業や研究機関のものでしたが、ウォズニアックの技術を見たジョブズは「これを個人が使えるようにすれば世界が変わる」と直感したのです。学歴も資金もない10代の若者でしたが、彼は躊躇せずにウォズニアックを説得し、製品化を提案しました。この大胆な決断が、翌年のApple創業へとつながります。常識に縛られず、可能性を信じて行動する姿勢は、彼の人生を決定づけた10代最後の選択でした。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:41:58,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,科学・技術,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
,P17CC1C2,孫正義,,14,ビジネス,276,あなたと同じ14歳のとき、孫正義は日本を飛び出してアメリカへ単身留学しました。佐賀県の高校を中退し、英語もほとんど話せない状態での渡米でしたが、「世界を見たい」という強い思いが彼を突き動かしていました。カリフォルニアで語学学校に通いながら、わずか3週間で高校卒業検定試験に合格。その後、飛び級でカリフォルニア大学バークレー校への進学を目指します。慣れない異国の地で、言葉の壁や文化の違いに苦しみながらも、決して諦めることなく前進し続けた10代の経験が、後の起業家精神の礎となりました。若き日の大胆な決断と行動力が、世界的な実業家への第一歩だったのです。,ACHIEVEMENT,,,False,実在,,,LLM_GENERATED,,,,2025-12-14 18:42:06,,,,AWARD,,7.0,82.14285714285714,,,7.0,,若き挑戦,8.5,7.5,8.0,8.5,8.0,8.5,8.5,ビジネス,,,,,,,,,,,,,10代,,,,,,,,,,,,,,
