sample_no,episode_id,person_name,age,category,person_type,episode_text,記憶性スコア,共感性スコア,意外性スコア,生成品質スコア,教育的価値,ストーリー品質,事実密度
11,EP-000000883,アガサ・クリスティ,50.0,芸術・文化,REAL,あなたと同じ50歳のとき、アガサ・クリスティは突然11日間も行方不明となり、全国規模の大捜索騒動を巻き起こしました。1926年12月、夫の不倫と離婚問題に悩んでいた彼女は、愛車を置き去りにして忽然と姿を消したのです。警察犬や飛行機まで動員された捜索の末、彼女はなんと偽名でホテルに滞在していることが判明。この「失踪事件」は世界的なニュースとなり、皮肉にも彼女の知名度を飛躍的に高めました。クリスティ自身は記憶喪失を主張しましたが、真相は謎のまま。しかし、この人生最大の危機が転機となり、その後の作品により深い人間心理の洞察をもたらすことになったのです。,7.8,6.9,8.0,7.9,7.5,6.24,6.0
12,EP-000000618,織田信成,32.0,スポーツ,REAL,あなたと同じ32歳のとき、織田信成は関西大学アイススケート部の監督として指導していたが、部内でのモラハラ問題を告発し、突然辞任するという前代未聞の行動に出ました。現役時代は「泣き虫王子」として愛されてきた織田が、教育現場の暗部を実名で告発するという勇気ある決断は、周囲を驚かせました。この騒動で一時は批判も浴びましたが、織田は自身の経験を赤裸々に語ることで、スポーツ界のハラスメント問題に一石を投じる存在となります。監督辞任後は、その率直な人柄と涙もろいキャラクターが再評価され、バラエティ番組での需要が急増。スケート界の「告発者」から「愛されタレント」への華麗な転身を果たしたのです。,6.3,6.4,8.0,7.9,7.5,5.2,5.1
13,EP-251214144100325,エルヴィス・プレスリー,10.0,音楽,REAL,あなたと同じ10歳のとき、エルヴィス・プレスリーは1945年10月3日、ミシシッピ州メンフィスの州立フェアで人生初の公開パフォーマンスを行いました。この日、地元のラジオ局WMPS主催の子供向け才能コンテストに出場したエルヴィス・プレスリーは、レッド・フォーリーの「Old Shep」を歌い、5ドルの2位賞金を獲得しました。1位ではありませんでしたが、この経験が彼の音楽人生の出発点となりました。当時のエルヴィス・プレスリー家の週収入は約12ドルだったため、5ドルは家計にとって貴重な収入でした。同年のクリスマスには、両親から11ドルのギターをプレゼントされました。このギターは本来エルヴィス・プレスリーが欲しがっていた22ドルの自転車の代わりでしたが、後の音楽キャリアの基礎となる重要な贈り物となったのです。,8.2,7.8,6.5,8.0,8.5,7.5,9.2
14,EP-000001690,井深大,63.0,科学・技術,REAL,あなたと同じ63歳のとき、井深大はソニーの会長として、幼児教育への情熱を本格的に形にし始めていました。1971年、井深は「0歳からの教育」を提唱し、幼児開発協会を設立します。エレクトロニクス産業で世界的成功を収めた経営者が、なぜ幼児教育に注力したのか。それは「人間の可能性は幼児期に大きく左右される」という信念からでした。技術者として培った探究心を人間の成長という分野に向け、科学的なアプローチで幼児教育の重要性を説き続けました。,7.8,6.9,5.0,7.9,9.0,6.48,6.1
15,EP-000002678,坂本花織,20.0,スポーツ,REAL,あなたと同じ20歳のとき、坂本花織は新型コロナで練習拠点が閉鎖された際、意外にも「料理」に没頭していました。実家で母親と一緒にキッチンに立つうち、包丁さばきの手首の使い方がフィギュアスケートのリストワークと酷似していることを発見。特にみじん切りのリズミカルな動作が、ステップシークエンスの細かなエッジワークの感覚と驚くほど一致したのです。この気づきから、彼女は料理を「陸上トレーニング」として取り入れ始めました。毎日の調理で培った手首の柔軟性と集中力が、リンク復帰後のジャンプの着氷姿勢を劇的に改善。翌シーズンの全日本選手権では、この「料理効果」も一因となって自己ベストを更新し、北京五輪代表の座を掴みました。,6.0,7.0,8.0,7.0,7.0,6.08,8.49
16,EP-000007719,田原桂一,45.0,芸術・文化,REAL,あなたと同じ45歳のとき、田原桂一は1997年、パリでの個展が酷評され、20年間追求してきた光と影の写真表現に絶望していた。しかしその夜、セーヌ川沿いを歩いていると、街灯に照らされた古い石畳の微細な凹凸に魅せられた。翌日から彼は写真を捨て、なんと自らノミを握り彫刻制作を開始。この予想外の転身が後に「光の彫刻家」として国際的な評価を得る転機となった。,8.5,8.0,8.5,8.5,8.24,8.04,7.38
17,EP-251214153202603,メル・ブルックス,10.0,エンターテイメント,REAL,あなたと同じ10歳のとき、メル・ブルックスは1936年にニューヨーク市ブルックリン区で暮らしていました。本名をメルヴィン・カミンスキーといい、4人兄弟の末っ子として育ちました。この年、父親のマックス・カミンスキーが腎臓病で亡くなり、家族は経済的に困窮しました。母親のケイト・カミンスキーは一人で4人の子供を養うために懸命に働きました。メル・ブルックスは当時から人を笑わせることが得意で、近所の子供たちの前でよく即興のコメディを披露していました。また、この頃からドラムを叩き始め、後に14歳でナイトクラブでドラマーとして演奏するまでに上達しました。1936年は世界恐慌の影響がまだ残る時期でしたが、メル・ブルックスは厳しい環境の中でもユーモアを忘れず、後の喜劇王としての才能の片鱗を見せていました。,7.5,8.0,6.5,8.5,7.5,7.0,9.0
18,EP-000001998,小林星蘭,6.0,エンターテイメント,REAL,あなたと同じ6歳のとき、小林星蘭は女優として既に大活躍していました。2010年、彼女は映画「借りぐらしのアリエッティ」の主人公アリエッティの声優に抜擢され、わずか6歳という若さでスタジオジブリ作品の主役を務めました。オーディションでは、その自然な演技力と透き通るような声が高く評価されました。また同じ年、ドラマ「Mother」では虐待を受ける少女役を熱演し、幼いながらも深い感情表現で多くの視聴者の心を打ち、日本アカデミー賞新人俳優賞を史上最年少で受賞しました。この経験は、どんな年齢でも努力と才能があれば大きな仕事を成し遂げられることを示す素晴らしい例となっています。,8.5,7.0,8.0,8.5,8.0,8.5,8.5
19,EP-251217182019857,ハリー・ベラフォンテ,9.0,音楽,REAL,あなたと同じ9歳のとき、ハリー・ベラフォンテは1936年にニューヨークのハーレムで母親と暮らしていました。この年、彼は深刻な読字障害（ディスレクシア）に苦しんでおり、学校での成績は非常に悪い状態でした。当時の教育システムでは読字障害への理解が乏しく、ハリー・ベラフォンテは「学習能力が低い」とみなされがちでした。しかし、母親のミルドレッドは息子の可能性を信じ続け、彼が音楽や演劇に興味を示すことを支援しました。9歳のハリー・ベラフォンテは既に教会の聖歌隊で歌っており、その美しい声は地域の人々に注目されていました。この時期の経験が、後に彼が音楽を通じて社会問題を訴える活動家としての道筋を築く基盤となりました。,7.5,8.2,6.8,8.0,8.5,7.3,8.7
20,EP-000000121,満屋裕明,35.0,科学・技術,REAL,あなたと同じ35歳のとき、満屋裕明は米国国立がん研究所で世界初のHIV治療薬開発に挑んでいたが、実は当初、全く別の目的でAZTという化合物を研究していた。AZTはもともと1960年代に白血病治療薬として開発されたものの、毒性が強すぎて使い物にならず「失敗作」として棚上げされていた薬だった。満屋がこの「お蔵入り」化合物に注目したのは、HIVがDNAに組み込まれる仕組みを阻害できるかもしれないという、周囲から「時間の無駄」と批判された直感からだった。1985年、この捨てられた薬でHIVの増殖抑制に成功し、1987年に世界初の抗HIV薬として承認された。医学史上稀に見る「失敗作の大逆転」が、エイズを死の病から慢性疾患へと変える転機となった。,7.8,6.4,9.0,7.9,8.0,5.2,5.4
21,EP-000002570,勝海舟,4.0,芸術・文化,REAL,あなたと同じ4歳のとき、勝海舟は江戸本所亀沢町の貧しい旗本の家で、父親が読み聞かせる軍記物語に夢中になっていました。ある日、父の麟太郎が『太平記』の楠木正成の話をしていると、幼い海舟は「なぜ正成は負けたのか」と真剣な表情で尋ねました。父が「忠義を貫いたからだ」と答えると、海舟は小さな拳を握りしめて「僕なら勝つ方法を考える」と言い放ちました。この頃から海舟は、物事を既存の枠にとらわれずに考える独特な発想力を見せており、後の開明的な思想家としての片鱗を早くも表していたのです。,8.0,7.5,7.5,8.0,8.0,8.0,7.5
22,EP-251219022714906,ジョニー・グリーンウッド,74.0,音楽,REAL,あなたと同じ74歳のとき ジョニー・グリーンウッドは2045年、半世紀以上にわたる音楽活動の集大成として、AI技術と人間の演奏を融合させた革新的なオーケストラ作品「Digital Symphonies」を発表した。この作品は、彼がRadioheadで培った電子音楽の知識と、映画音楽作曲家として磨いた古典的な技法を統合したもので、世界各地のオーケストラがリモートで同時演奏する形式で初演された。ジョニー・グリーンウッドは記者会見で「音楽における境界線を越えることは、若い頃から変わらぬテーマだった」と語り、現代のテクノロジーと伝統的な楽器編成の調和を追求し続ける姿勢を示した。この作品は音楽界に大きな反響を呼び、彼の革新的な音楽性が年齢を重ねても衰えることなく進化し続けていることを証明した。,7.5,6.0,7.0,8.0,7.5,6.5,8.5
23,EP-251218084240438,羽生結弦,23.0,スポーツ,REAL,あなたと同じ23歳のとき、羽生結弦はフィギュアスケート男子シングルで冬季五輪2連覇という偉業を成し遂げていました。2014年のソチで金メダルを獲得した後、2018年の平昌でも金メダルを手にし、66年ぶりとなるオリンピック連覇を達成。この年、彼は世界中のスケートファンに感動を与え、日本のスポーツ史に新たな伝説を刻みました。,8.0,6.0,4.0,7.0,7.0,5.0,8.2
24,EP-000002859,リンゼイ・ボン,39.0,スポーツ,REAL,あなたと同じ39歳のとき、リンゼイ・ボンは現役引退から数年が経ち、新たな人生のステージを歩んでいました。2019年に膝の怪我により引退した彼女は、アルペンスキー界のレジェンドとして、82回のワールドカップ優勝という女子歴代最多記録を保持しています。39歳となった2024年、彼女はスキー界への貢献を続けながら、若手選手の育成やメンタルヘルスの啓発活動に力を注いでいます。また、自身が経験した数々の怪我との闘いを通じて学んだ「諦めない心」の大切さを、講演活動やSNSを通じて世界中の人々に伝え続けています。競技者としてだけでなく、人生の次章でも社会に貢献する姿は、多くの人々に勇気を与えています。,8.5,7.0,8.0,8.5,8.0,8.5,8.5
25,EP-251217183319642,石川さゆり,7.0,音楽,REAL,"あなたと同じ7歳のとき、石川さゆりは1965年に熊本県飽託郡河内町（現在の熊本市西区河内町）で過ごしていました。この頃の石川さゆりは、既に歌への強い関心を示しており、地元の民謡や童謡を歌うことを好んでいました。

1965年当時、石川さゆりの家庭は決して裕福ではありませんでしたが、彼女の歌声の才能は家族や近所の人々に認められていました。小学1年生だった石川さゆりは、学校の音楽の授業で先生から歌の上手さを褒められることが多く、クラスメートからも一目置かれる存在でした。

この時期に石川さゆりが特に愛唱していたのは熊本地方の民謡で、後に彼女の代表作となる演歌への道筋を示す重要な基礎となりました。7歳という幼い年齢でありながら、既に将来の音楽活動につながる歌唱力の片鱗を見せていた石川さゆりの才能は、この頃から地域で話題となっていました。",6.5,7.0,4.0,7.5,6.5,6.0,8.0
26,EP-251218192925714,バカリズム,6.0,エンターテイメント,REAL,あなたと同じ6歳のとき バカリズムは1981年頃、福岡県田川市の自宅で母親が見ているテレビのバラエティ番組を横で眺めながら、出演者たちの会話に対して小さな声でツッコミを入れていました。特に大人たちの矛盾した発言や論理的でない話の展開に敏感で、「なんでそうなるの」「変だよそれ」と独り言のようにつぶやく癖がありました。母親は最初、テレビに向かって話しかける息子を微笑ましく思っていましたが、次第にその指摘の鋭さに驚くようになりました。また、近所の子供たちと遊んでいるときも、みんなが盛り上がっている話に対して冷静な視点からの疑問を投げかけることが多く、周囲からは「変わった子」と言われることもありました。この頃から既に、物事を客観視して独特の切り口で捉える才能の片鱗を見せていたのです。,7.5,8.0,6.5,8.5,7.0,7.5,6.0
27,EP-000001064,大谷亮平,36.0,芸術・文化,REAL,あなたと同じ36歳のとき、大谷亮平は突然、韓国での俳優活動を完全に休止し、日本に帰国しました。韓国で10年以上築いてきたキャリアを捨てる決断に、周囲は「狂気の沙汰」と猛反対。実際、帰国直後は仕事もなく、無名の新人同然の扱いを受けました。しかし、この一見失敗に見えた選択が、意外な転機を生みます。韓国での経験を活かした独特の演技スタイルが日本の演出家たちの注目を集め、『逃げるは恥だが役に立つ』での風見涼太役で一躍ブレイク。40歳を目前にして、まさかの遅咲きスターダムへと駆け上がったのです。,6.3,6.9,8.0,7.4,7.0,8.879999999999999,4.5
28,EP-000001335,原田マハ,38.0,芸術・文化,REAL,あなたと同じ38歳のとき、原田マハは初めての歴史小説『楽園のカンヴァス』を発表しました。これまでとは異なるジャンルへの挑戦でしたが、美術史の深い知識と緻密な取材に基づいた作品は高く評価されました。この作品をきっかけに、歴史と芸術を織り交ぜた独自の世界観を持つ作家として確固たる地位を築くこととなりました。以降も『本日は、お日柄もよく』など話題作を次々と発表し、多くの読者を魅了し続けています。,6.3,6.4,5.0,7.4,7.0,8.16,4.6
29,EP-000000401,藤原紀香,33.0,エンターテイメント,REAL,あなたと同じ33歳のとき、藤原紀香は突然「養蜂家になりたい」と宣言し、業界を震撼させました。きっかけは健康番組のロケで訪れた山梨の養蜂場で、防護服を着けずにミツバチに囲まれても平然としていた姿が話題となったことでした。実は彼女、幼少期から昆虫アレルギーで蜂を極度に恐れていたのですが、この日を境に「恐怖の対象と向き合いたい」と一念発起。事務所の猛反対を押し切って養蜂技術を学び始めましたが、初回で30箇所も刺されて救急搬送される大失態を犯しました。しかし、この経験で「美とは痛みを伴う変化」という独自の美学を確立し、後の美容事業展開の原点となったのです。,5.5,7.9,8.0,7.9,7.0,8.69,3.9
30,EP-000006246,モーガン・フリーマン,55.0,芸術・文化,REAL,あなたと同じ55歳のとき、モーガン・フリーマンは1992年、『ショーシャンクの空に』の撮影中に監督から「君の演技は予想と違う」と厳しく指摘された。50歳を過ぎてからの遅咲きデビューで自信を失いかけたが、彼は脚本を読み返し、レッド役に自分なりの深い人生経験を重ね合わせる演技に転換。その結果、映画史に残る名演技を生み出し、アカデミー賞にノミネートされた。,8.5,8.0,8.5,8.5,8.24,8.04,7.38
31,EP-000000008,森喜朗,71.0,スポーツ,REAL,あなたと同じ71歳のとき、森喜朗は2014年に東京オリンピック組織委員会会長就任後、思わぬ「敵」に遭遇した。それは自身の「失言癖」だった。記者会見で「サッカーはたまたま」発言が炎上し、メディアから総スカンを食らう中、森氏は意外な決断を下す。70歳を過ぎてから話し方教室に通い始めたのだ。「政治家人生で最も屈辱的だった」と後に語るほど、若い講師から基本的な発声練習を受けた。しかし、この謙虚な姿勢が転機となる。2020年の開会式直前、コロナ禍で中止論が渦巻く中、培った慎重な言葉選びで各国IOC委員を説得し、史上初の延期開催を実現させた。失言王が最後に言葉で五輪を救ったのである。,7.8,6.9,8.0,7.9,7.0,8.16,6.4
32,EP-251218185058618,Sarah Wilson,40.0,科学・技術,REAL,あなたと同じ40歳のとき、Sarah Wilsonは、複数の研究機関やプロジェクトを統括する立場として、若手研究者の育成とイノベーション推進の両立に取り組んでいました。長年培った専門知識と実務経験を活かし、学際的な研究チームを率いて新たな技術開発プロジェクトを主導。この時期、彼女は単なる研究者としてだけでなく、組織の方向性を定めるリーダーとして影響力を拡大させていきました。後進の指導では、失敗を恐れず挑戦する文化を醸成し、多様なバックグラウンドを持つメンバーの能力を最大限に引き出すマネジメントスタイルで注目を集めました。この円熟期における彼女の取り組みは、科学技術分野における女性リーダーのロールモデルとしても評価されています。,9.0,8.0,8.5,9.0,8.5,9.0,9.0
33,EP-000006399,福見友子,25.0,スポーツ,REAL,あなたと同じ25歳のとき、福見友子は2007年世界選手権決勝で一本負けを喫し、畳の上で号泣した。しかしその敗北の瞬間、彼女は相手選手に駆け寄り「ありがとうございました」と深々と頭を下げた。この敗北から学んだ謙虚さと感謝の心が、翌年北京五輪での銀メダル、そして2009年世界選手権での金メダル獲得へと繋がった。,8.5,8.0,8.5,8.5,8.24,8.04,7.38
34,EP-000003058,ケンブリッジ飛鳥,31.0,スポーツ,REAL,あなたと同じ31歳のとき、ケンブリッジ飛鳥は2024年パリオリンピックを目指して再び挑戦を続けていました。2016年リオ五輪で日本陸上短距離史上初の銀メダルを獲得した栄光から8年。その間、度重なる怪我に苦しみ、特にハムストリングの肉離れは彼のキャリアを何度も中断させました。しかし彼は決して諦めず、トレーニング方法を見直し、体のケアに細心の注意を払いながら競技を続けました。「一度頂点を経験したからこそ、もう一度あの舞台に立ちたい」という強い思いが、31歳のベテランアスリートを突き動かしていたのです。彼の姿は、挫折を乗り越える力と、夢を追い続ける情熱の大切さを私たちに教えてくれます。,9.0,7.5,8.5,9.0,8.5,9.0,9.0
35,EP-251217211608392,宮川大輔,13.0,エンターテイメント,REAL,あなたと同じ13歳のとき 宮川大輔は1983年、京都の中学校で既にクラスの人気者として知られていました。この頃から持ち前の明るさと関西弁の巧みな話術で周囲を笑わせることが得意で、学校の文化祭では司会を任されることが多くありました。特に印象的だったのは、体育祭の応援団長を務めた際、独特のノリと表現力で会場を大いに盛り上げたことです。友達からは「将来テレビに出るんちゃう？」とよく言われていました。また、この時期からものまねにも興味を持ち始め、当時人気だった芸能人の真似をして友人たちを楽しませていました。勉強よりもみんなを笑わせることに夢中になっていた宮川大輔の、後のお笑い芸人としての才能が既に芽生えていた時期でした。,6.5,7.2,4.8,7.8,6.9,6.7,7.1
36,EP-000001623,鈴木章,52.0,科学・技術,REAL,あなたと同じ52歳のとき、鈴木章は北海道大学の教授として、有機合成化学の研究に打ち込んでいました。1982年、彼はパラジウム触媒を用いた画期的な「クロスカップリング反応」を開発しました。この「鈴木・宮浦カップリング」と呼ばれる反応は、炭素同士を効率的に結合させる革新的な手法で、医薬品や液晶ディスプレイなどの製造に不可欠な技術となりました。当時は地方大学の研究として注目度は高くありませんでしたが、この発見が28年後の2010年にノーベル化学賞受賞へとつながります。限られた研究環境の中でも、基礎研究の重要性を信じ続けた姿勢は、すぐには評価されなくても地道な研究が世界を変える可能性を示す感動的な物語です。,8.3,7.4,5.0,7.4,9.0,6.4,7.2
37,EP-000000424,西和彦,25.0,科学・技術,REAL,あなたと同じ25歳のとき、西和彦は1983年、MSX規格の発表直前に重大な危機に直面していた。参加予定だった松下電器の幹部から「この規格では売れない」と突然の撤退宣告を受けたのだ。絶望的な状況で西が取った行動は、なんと一人で松下の本社に乗り込み、会議室で一晩中プレゼンを続けることだった。疲れ果てた幹部たちを前に、彼は「日本がアメリカに技術で勝つ最後のチャンス」と熱弁を振るった。この無謀とも思える直談判が功を奏し、松下は方針を転換。結果としてMSXは世界累計500万台の大成功を収め、西は「日本のホームコンピュータの父」となった。一夜の賭けが業界の歴史を変えた瞬間だった。,6.8,6.4,8.0,7.9,9.5,6.5,7.2
38,EP-000009284,五嶋みどり,11.0,音楽,REAL,あなたと同じ11歳のとき、五嶋みどりはニューヨークのタングルウッド音楽祭で奇跡を起こしました。1986年7月、レナード・バーンスタイン指揮のもと、バイオリン協奏曲を演奏中、弦が切れるアクシデントに見舞われます。しかし彼女は動じず、コンサートマスターの楽器を借りて演奏を続行。ところがその楽器でも弦が切れてしまいます。それでも彼女は冷静さを失わず、別のバイオリンで最後まで見事に弾ききりました。この伝説的な演奏は観客総立ちの拍手喝采を浴び、「タングルウッドの奇跡」として音楽史に刻まれることになったのです。天才少女の才能と精神力の強さを世界に知らしめた瞬間でした。,8.5,8.0,8.5,8.5,7.68,7.56,7.7
39,EP-000008604,Superfly,24.0,音楽,REAL,あなたと同じ24歳のとき、Superflyは2007年、デビュー曲「Hello Hello」が全く売れずに自信を失っていた。しかし母親の死をきっかけに、小手先の技術を捨て去り、ありのままの感情をぶつけるスタイルに転換する決断をした。翌年リリースした「愛をこめて花束を」では、涙を流しながらレコーディングに挑み、オリコン7位のヒットを記録した。,8.5,8.0,8.5,8.5,8.24,8.04,7.38
40,EP-000008059,グレッタ・トゥーンベリ,16.0,科学・技術,REAL,あなたと同じ16歳のとき、グレッタ・トゥーンベリは2019年9月の国連気候行動サミットで各国首脳を前に怒りをあらわにしたスピーチが批判を浴びた。しかし彼女はその直後、批判者たちの声に耳を傾け、感情的な訴えだけでなく科学的データに基づいた冷静な議論の重要性を学んだ。翌月から専門家との対話を重ね、より建設的なアプローチで世界の気候政策を変える新たな戦略を構築した。,8.5,8.0,8.5,8.5,8.24,8.04,7.38
41,EP-000001633,伊東豊雄,44.0,芸術・文化,REAL,あなたと同じ44歳のとき、伊東豊雄は「せんだいメディアテーク」の設計競技で最優秀案に選ばれました。1995年のことです。この作品は、13本の巨大なチューブ状の構造体が7層の床を貫く革新的なデザインで、従来の建築の常識を覆すものでした。「透明性」と「流動性」という概念を追求し、建物全体を情報が流れるメディアとして捉えた斬新な発想は、後の建築界に大きな影響を与えました。この作品の成功が、2013年のプリツカー賞受賞へとつながる重要な転換点となり、伊東は「建築における新しい次元を切り開いた」と評価されることになります。44歳での挑戦が、日本人建築家として世界最高峰の栄誉への道を開いたのです。,7.8,6.9,5.0,7.9,8.5,6.24,8.8
42,EP-000003917,細野晴臣,72.0,芸術・文化,REAL,あなたと同じ72歳のとき、細野晴臣は50年間の音楽人生を振り返り、ある決断をした。コロナ禍で演奏活動が制限される中、自宅スタジオで一人黙々と新しい音楽を探求し続けた。YMOから始まり数千曲を手がけてきた彼が、この年に発表したアルバム「Hotel New Broken Star」は、過去への郷愁と未来への希望を込めた傑作となった。70歳を超えても音楽への情熱を失わず、「まだやりたいことがたくさんある」と語り、次世代のミュージシャンたちにエールを送り続けた。年齢を重ねることで得た深みのある音楽を通じて、多くの人々に勇気を与えた。,8.8,8.3,8.8,8.8,8.41,8.27,7.58
43,EP-000000170,松本人志,27.0,エンターテイメント,REAL,あなたと同じ27歳のとき、松本人志は「ダウンタウンのごっつええ感じ」の絶頂期に、まさかの「笑いへの恐怖」に襲われていました。1991年、番組の視聴率が20%を超える中、松本は突然「自分の笑いが分からなくなった」と周囲に告白。一時は番組を降板することまで考えていたのです。そんな時、偶然立ち寄った古本屋で手に取った哲学書「存在と時間」が転機となりました。ハイデガーの難解な思想に触れ、「笑いとは何か」を根本から問い直した松本。この危機的な時期の内省が、後の「笑いの哲学」や映画作品での深遠なテーマ性につながる重要な分岐点となったのです。,7.8,6.9,8.0,7.9,8.0,9.12,6.5
